unique_id,product_name,available_inventory,preorder_backlog,confirmed_inbound,inbound_eta,transit_stock
CA-CL-AT-CBL,,156,0,0,,0
CA-SC-10-B-10-BE-1TO,"Toyota RAV4 Plug-in Hybrid 2026 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",146,0,90,2026-08-16,0
CA-SC-10-B-10-BK-1TO,"Toyota RAV4 Plug-in Hybrid 2026 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",291,5,820,2026-07-30,0
CA-SC-10-B-10-BR-1TO,"Toyota RAV4 Plug-in Hybrid 2026 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",29,1,95,2026-07-30,0
CA-SC-10-B-10-DB-1TO,"Toyota RAV4 Plug-in Hybrid 2026 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",116,0,70,2026-09-24,0
CA-SC-10-B-10-DG-1TO,"Toyota RAV4 Plug-in Hybrid 2026 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",102,0,430,2026-08-09,0
CA-SC-10-B-10-GR-1TO,"Toyota RAV4 Plug-in Hybrid 2026 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",48,2,220,2026-07-30,0
CA-SC-10-B-10-WR-1TO,"Toyota RAV4 Plug-in Hybrid 2026 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",51,0,150,2026-08-09,0
CA-SC-10-B-102-BK-1TO,"Toyota Highlander Hybrid Seat Covers - Custom-Fit, Comfort Leather, Easy Install",0,31,105,2026-08-12,0
CA-SC-10-B-102-GR-1TO,"Toyota Highlander Hybrid Seat Covers - Custom-Fit, Comfort Leather, Easy Install",0,26,65,2026-08-16,0
CA-SC-10-B-124-BK-1TO,"Chevrolet Silverado Seat Covers - Custom-Fit, Comfort Leather, Easy Install",0,93,365,2026-07-30,0
CA-SC-10-B-124-DB-1TO,"Chevrolet Silverado Seat Covers - Custom-Fit, Comfort Leather, Easy Install",0,48,135,2026-07-30,0
CA-SC-10-B-124-DG-1TO,"Chevrolet Silverado Seat Covers - Custom-Fit, Comfort Leather, Easy Install",0,26,70,2026-08-12,0
CA-SC-10-B-125-BK-1TO,"Toyota Tacoma Seat Covers - Custom-Fit, Comfort Leather, Easy Install",26,0,200,2026-07-30,0
CA-SC-10-B-125-DG-1TO,"Toyota Tacoma Seat Covers - Custom-Fit, Comfort Leather, Easy Install",33,0,90,2026-09-12,0
CA-SC-10-B-126-BK-1TO,"Toyota Tacoma Seat Covers - Custom-Fit, Comfort Leather, Easy Install",0,61,205,2026-07-30,0
CA-SC-10-B-126-DG-1TO,"Toyota Tacoma Seat Covers - Custom-Fit, Comfort Leather, Easy Install",0,54,140,2026-07-30,0
CA-SC-10-B-127-BK-1TO,"Chevrolet Silverado Seat Covers - Custom-Fit, Comfort Leather, Easy Install",35,17,385,2026-08-12,0
CA-SC-10-B-127-BR-1TO,"Chevrolet Silverado Seat Covers - Custom-Fit, Comfort Leather, Easy Install",5,0,65,2026-07-30,0
CA-SC-10-B-127-DB-1TO,"GMC Sierra Seat Covers - Custom-Fit, Comfort Leather, Easy Install",13,0,100,2026-07-30,0
CA-SC-10-B-127-DG-1TO,"GMC Sierra Seat Covers - Custom-Fit, Comfort Leather, Easy Install",13,0,110,2026-07-30,0
CA-SC-10-B-127-GR-1TO,"Chevrolet Silverado Seat Covers - Custom-Fit, Comfort Leather, Easy Install",11,3,10,2026-07-30,0
CA-SC-10-B-127-WR-1TO,"Chevrolet Silverado Seat Covers - Custom-Fit, Comfort Leather, Easy Install",20,1,20,2026-08-12,0
CA-SC-10-B-129-BK-1TO,"Toyota Tundra Seat Covers - Custom-Fit, Comfort Leather, Easy Install",0,8,50,2026-07-30,0
CA-SC-10-B-129-DG-1TO,"Toyota Tundra Seat Covers - Custom-Fit, Comfort Leather, Easy Install",6,0,50,2026-08-31,0
CA-SC-10-B-131-BK-1TO,"Jeep Wrangler Seat Covers - Custom-Fit, Comfort Leather, Easy Install",7,7,105,2026-08-12,0
CA-SC-10-B-132-BK-1TO,Product CA-SC-10-B-132-BK-1TO,68,23,45,2026-08-16,0
CA-SC-10-B-132-DB-1TO,Product CA-SC-10-B-132-DB-1TO,34,4,30,2026-08-12,0
CA-SC-10-B-132-DG-1TO,Product CA-SC-10-B-132-DG-1TO,20,3,20,2026-09-16,0
CA-SC-10-B-137-BK-1TO,"RAM 1500 Classic Seat Covers - Custom-Fit, Comfort Leather, Easy Install",0,56,255,2026-07-30,0
CA-SC-10-B-137-DG-1TO,"RAM 1500 Classic Seat Covers - Custom-Fit, Comfort Leather, Easy Install",0,43,130,2026-08-12,0
CA-SC-10-B-138-BK-1TO,"RAM 1500 Classic Seat Covers - Custom-Fit, Comfort Leather, Easy Install",0,57,175,2026-07-30,0
CA-SC-10-B-138-DG-1TO,"RAM 1500 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",0,31,140,2026-08-12,0
CA-SC-10-B-141-BK-1TO,"Toyota 4Runner Seat Covers - Custom-Fit, Comfort Leather, Easy Install",0,30,60,2026-08-12,0
CA-SC-10-B-147-BK-1TO,"Ford F-250 Super Duty Seat Covers - Custom-Fit, Comfort Leather, Easy Install",0,14,75,2026-08-31,0
CA-SC-10-B-149-BK-1TO,"Toyota Tacoma Seat Covers - Custom-Fit, Comfort Leather, Easy Install",12,1,35,2026-08-31,0
CA-SC-10-B-149-DG-1TO,"Toyota Tacoma Seat Covers - Custom-Fit, Comfort Leather, Easy Install",0,10,55,2026-08-12,0
CA-SC-10-B-15-BE-1TO,"Lexus UX 200h 2019-2026 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",37,0,10,2026-08-12,0
CA-SC-10-B-15-BK-1TO,"Lexus UX 200h 2019-2026 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",0,12,100,2026-07-30,0
CA-SC-10-B-151-BK-1TO,"Toyota Tundra Seat Covers - Custom-Fit, Comfort Leather, Easy Install",99,4,10,2026-08-12,0
CA-SC-10-B-152-BK-1TO,"Toyota Tundra Seat Covers - Custom-Fit, Comfort Leather, Easy Install",0,22,105,2026-08-16,0
CA-SC-10-B-159-BK-1TO,Product CA-SC-10-B-159-BK-1TO,50,0,20,2026-08-16,0
CA-SC-10-B-16-BE-1TO,"Buick Envision 2016-2026 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",30,0,30,2026-07-30,0
CA-SC-10-B-16-BK-1TO,"Buick Envision 2016-2026 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",37,0,45,2026-08-16,0
CA-SC-10-B-16-DB-1TO,"Buick Envision 2016-2026 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",18,0,30,2026-07-30,0
CA-SC-10-B-16-DG-1TO,"Buick Envision 2016-2026 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",8,1,25,2026-07-30,0
CA-SC-10-B-162-BK-1TO,"Ford F-450 Super Duty Seat Covers - Custom-Fit, Comfort Leather, Easy Install",0,20,100,2026-08-16,0
CA-SC-10-B-176-BK-1TO,"RAM 1500 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",0,44,196,2026-07-30,0
CA-SC-10-B-176-DB-1TO,"RAM 1500 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",7,0,45,2026-07-30,0
CA-SC-10-B-176-DG-1TO,"RAM 1500 Seat Covers - Custom-Fit, Comfort Leather, Easy Install",0,1,75,2026-07-30,0
CA-SC-10-B-177-BK-1TO,Product CA-SC-10-B-177-BK-1TO,121,0,0,,0
CA-SC-10-B-177-DG-1TO,Product CA-SC-10-B-177-DG-1TO,47,0,20,2026-07-30,0
CA-SC-10-B-177-GR-1TO,Product CA-SC-10-B-177-GR-1TO,6,0,25,2026-07-30,0
CA-SC-10-B-183-BK-1TO,"Chevrolet Silverado Seat Covers - Custom-Fit, Comfort Leather, Easy Install",10,15,60,2026-08-12,0
CA-SC-10-B-188-BK-1TO,Product CA-SC-10-B-188-BK-1TO,45,0,0,,0
CA-SC-10-B-20-BE-1TO,"Nissan Murano Seat Covers - Custom-Fit, Comfort Leather, Easy Install",15,0,65,2026-08-31,0
